timestamp,event,duration,deviceId,copyKind,payload,bandwidth,pkt_src,pkt_dst,pid,tid,name,category
1548903851.198123,-1,1045.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26603892|bu=5368|ca=4697460|si=0|so=0|bi=0|bo=0|in=1045|cs=1396|usr=1|sys=0|idl=99|wa=0|st=0,-1
1548903852.198123,-1,1068.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=2|b=0|sw=0|fr=26603892|bu=5368|ca=4697460|si=0|so=0|bi=0|bo=0|in=1068|cs=1473|usr=1|sys=0|idl=99|wa=0|st=0,-1
1548903849.198123,-1,49.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26622728|bu=5368|ca=4697236|si=0|so=0|bi=7|bo=8|in=20|cs=49|usr=0|sys=0|idl=100|wa=0|st=0,-1
1548903850.198123,-1,1739.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26603876|bu=5368|ca=4697456|si=0|so=0|bi=0|bo=0|in=1903|cs=1739|usr=1|sys=4|idl=95|wa=0|st=0,-1
1548903851.198123,-1,1396.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26603892|bu=5368|ca=4697460|si=0|so=0|bi=0|bo=0|in=1045|cs=1396|usr=1|sys=0|idl=99|wa=0|st=0,-1
1548903852.198123,-1,1473.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=2|b=0|sw=0|fr=26603892|bu=5368|ca=4697460|si=0|so=0|bi=0|bo=0|in=1068|cs=1473|usr=1|sys=0|idl=99|wa=0|st=0,-1
1548903849.198123,-1,0.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26622728|bu=5368|ca=4697236|si=0|so=0|bi=7|bo=8|in=20|cs=49|usr=0|sys=0|idl=100|wa=0|st=0,-1
1548903850.198123,-1,0.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26603876|bu=5368|ca=4697456|si=0|so=0|bi=0|bo=0|in=1903|cs=1739|usr=1|sys=4|idl=95|wa=0|st=0,-1
1548903851.198123,-1,0.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26603892|bu=5368|ca=4697460|si=0|so=0|bi=0|bo=0|in=1045|cs=1396|usr=1|sys=0|idl=99|wa=0|st=0,-1
1548903852.198123,-1,0.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=2|b=0|sw=0|fr=26603892|bu=5368|ca=4697460|si=0|so=0|bi=0|bo=0|in=1068|cs=1473|usr=1|sys=0|idl=99|wa=0|st=0,-1
1548903849.198123,-1,0.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26622728|bu=5368|ca=4697236|si=0|so=0|bi=7|bo=8|in=20|cs=49|usr=0|sys=0|idl=100|wa=0|st=0,-1
1548903850.198123,-1,0.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26603876|bu=5368|ca=4697456|si=0|so=0|bi=0|bo=0|in=1903|cs=1739|usr=1|sys=4|idl=95|wa=0|st=0,-1
1548903851.198123,-1,0.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26603892|bu=5368|ca=4697460|si=0|so=0|bi=0|bo=0|in=1045|cs=1396|usr=1|sys=0|idl=99|wa=0|st=0,-1
1548903852.198123,-1,0.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=2|b=0|sw=0|fr=26603892|bu=5368|ca=4697460|si=0|so=0|bi=0|bo=0|in=1068|cs=1473|usr=1|sys=0|idl=99|wa=0|st=0,-1
1548903849.198123,-1,0.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26622728|bu=5368|ca=4697236|si=0|so=0|bi=7|bo=8|in=20|cs=49|usr=0|sys=0|idl=100|wa=0|st=0,-1
1548903850.198123,-1,1.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26603876|bu=5368|ca=4697456|si=0|so=0|bi=0|bo=0|in=1903|cs=1739|usr=1|sys=4|idl=95|wa=0|st=0,-1
1548903851.198123,-1,1.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26603892|bu=5368|ca=4697460|si=0|so=0|bi=0|bo=0|in=1045|cs=1396|usr=1|sys=0|idl=99|wa=0|st=0,-1
1548903852.198123,-1,1.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=2|b=0|sw=0|fr=26603892|bu=5368|ca=4697460|si=0|so=0|bi=0|bo=0|in=1068|cs=1473|usr=1|sys=0|idl=99|wa=0|st=0,-1
1548903849.198123,-1,0.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26622728|bu=5368|ca=4697236|si=0|so=0|bi=7|bo=8|in=20|cs=49|usr=0|sys=0|idl=100|wa=0|st=0,-1
1548903850.198123,-1,4.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26603876|bu=5368|ca=4697456|si=0|so=0|bi=0|bo=0|in=1903|cs=1739|usr=1|sys=4|idl=95|wa=0|st=0,-1
1548903851.198123,-1,0.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=1|b=0|sw=0|fr=26603892|bu=5368|ca=4697460|si=0|so=0|bi=0|bo=0|in=1045|cs=1396|usr=1|sys=0|idl=99|wa=0|st=0,-1
1548903852.198123,-1,0.000010,-1,-1,-1,-1,-1,-1,-1,-1,r=2|b=0|sw=0|fr=26603892|bu=5368|ca=4697460|si=0|so=0|bi=0|bo=0|in=1068|cs=1473|usr=1|sys=0|idl=99|wa=0|st=0,-1
